"[Zr], M","[BDC], M",Modulator,"[Mod], M",[H$_2$O]:[Zr] ratio,"Aging, h","T, $^o$C",Number of DMF washes,Total washes,Last  solvent in pores,"Activation T, $^o$C","Activation time, h","Time of synthesis, h",Zr source,Size
0.011730165591614028,0.06020706966897312,311.6533132530121,451.9259523809524,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,439.0
0.011287811807176284,0.05793661364599787,311.6533132530121,540.2646857142856,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,813.0
0.01084682293302245,0.05567316325716421,311.6533132530121,636.1070952380952,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,1174.0
0.013964735597980319,0.07167638022582275,272.86463855421687,44.33990476190476,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,38.0
0.013335893740259121,0.06844874245354325,272.86463855421687,88.67980952380952,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,227.0
0.0136398987615537,0.07000909992282617,272.86463855421687,66.68039523809524,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,53.0
0.031025357024295958,0.03789981518266596,241.420618322346,41.781833333333324,0.0,0.0,120.0,4,8,169.5081325301205,120.0,12.0,24.0,True,10.0
0.03221863998676888,0.03935750038199927,311.6533132530121,23.87533333333333,0.0,0.0,120.0,4,8,169.5081325301205,120.0,12.0,24.0,True,10.0
0.03561171414962667,0.03954763323408622,261.75611015490534,11.327217803030303,39.340037878787875,0.0,120.0,4,8,169.5081325301205,150.0,15.0,24.0,True,200.0
0.020942115991399772,0.025582375248299524,342.44948364888126,36.657589916666666,0.0,0.0,120.0,4,8,169.5081325301205,120.0,12.0,24.0,True,300.0
0.036916263847701705,0.03694604865355821,108.86559923906148,0.0,2.9738283062645015,0.0,120.0,4,4,328.97561279601166,200.0,24.0,72.0,False,154.0
0.03430531055249309,0.03433298878718305,241.420618322346,36.01035730858469,2.973828306264502,0.0,120.0,4,4,328.97561279601166,200.0,24.0,72.0,False,270.0
0.0304732607120603,0.030497847169613748,241.420618322346,100.05580510440835,2.9738283062645015,0.0,120.0,4,4,328.97561279601166,200.0,24.0,72.0,False,720.0
0.03240161358291519,0.03242775587548267,311.6533132530121,100.05580510440835,2.9738283062645015,0.0,120.0,4,4,328.97561279601166,200.0,24.0,72.0,False,440.0
0.03569608875454306,0.0357248890978762,272.86463855421687,12.003452436194895,2.9738283062645015,0.0,120.0,4,4,328.97561279601166,200.0,24.0,72.0,False,200.0
0.09596728996050535,0.09615626855215006,261.75611015490534,1.1319085714285715,4.1860642285714285,0.0,120.0,3,6,229.5665249232223,320.0,12.0,21.0,False,842.0
0.0902034887616762,0.09038111728775666,272.86463855421687,9.98742857142857,0.0,0.0,120.0,3,6,229.5665249232223,320.0,12.0,21.0,False,716.0
0.06468636781298599,0.0646063440826969,241.420618322346,29.962285714285713,23.96982857142857,0.0,120.0,2,2,169.5081325301205,150.0,12.0,24.0,False,100.0
0.06468636781298599,0.0646063440826969,241.420618322346,29.962285714285713,23.96982857142857,24.0,120.0,2,2,169.5081325301205,150.0,12.0,24.0,False,50.0
0.06468636781298599,0.0646063440826969,241.420618322346,29.962285714285713,23.96982857142857,48.0,120.0,2,2,169.5081325301205,150.0,12.0,24.0,False,50.0
0.06950289638030027,0.06941691410579187,241.420618322346,14.981142857142856,11.984914285714288,0.0,120.0,2,2,169.5081325301205,150.0,12.0,24.0,False,100.0
0.06950289638030027,0.06941691410579187,241.420618322346,14.981142857142856,11.984914285714288,24.0,120.0,2,2,169.5081325301205,150.0,12.0,24.0,False,25.0
0.06950289638030027,0.06941691410579187,241.420618322346,14.981142857142856,11.984914285714288,48.0,120.0,2,2,169.5081325301205,150.0,12.0,24.0,False,10.0
