"[Zr], M","[BDC], M",Modulator,"[Mod],M",[H$_2$O]:[Zr] ratio,"Aging, h","T, $^o$C",Number of DMF washes,Total washes,Last  solvent in pores,"Activation T, $^o$C","Activation time, h","Time of synthesis, h",Zr source,Area
0.025561849656883982,0.04994874561378863,1105.0042574257425,0.0,14.400550705947747,0.0,110.0,3,6,1233.1089167845357,100.0,12.0,24.0,False,1109.0
0.08753861997940268,0.08743152952507073,1105.0042574257425,0.0,0.0,0.0,120.0,0,3,1233.1089167845357,150.0,5.0,24.0,False,1110.0
0.16178327697112121,0.283378066842618,1296.5647502250224,1.9851555555555553,7.472076190476191,0.0,220.0,2,3,1233.1089167845357,150.0,2.0,20.0,False,1110.0
0.027070058037886265,0.03787272927145229,1105.0042574257425,0.0,7.001017377567141,0.0,100.0,1,1,1233.1089167845357,150.0,24.0,12.0,False,1119.0
0.16178327697112121,0.2023271367075472,1296.5647502250224,1.9851555555555553,7.472076190476191,0.0,220.0,2,3,1233.1089167845357,150.0,2.0,20.0,False,1120.0
0.16178327697112121,0.2425524131449527,1296.5647502250224,1.9851555555555553,7.472076190476191,0.0,220.0,2,3,1233.1089167845357,150.0,2.0,20.0,False,1120.0
0.19577433184564796,0.19437179800620927,1162.8317281728173,4.998176943699732,1.3070232707774798,0.0,120.0,0,3,1233.1089167845357,150.0,10.0,24.0,False,1124.0
0.018738950671985423,0.01882029126033891,1320.229446605375,16.89195266272189,0.0,0.0,120.0,3,6,1233.1089167845357,250.0,12.0,24.0,False,1131.0
0.01812295856878183,0.018107253866749228,1162.8317281728173,3.0004999245283015,4.8751528301886795,0.0,120.0,2,4,1233.1089167845357,90.0,12.0,24.0,False,1137.0
0.17424706328761566,0.1866475166314603,1296.5647502250224,2.135433540372671,7.372584298136647,0.0,150.0,2,4,1233.1089167845357,100.0,12.0,24.0,True,1140.0
0.025646816081538796,0.025649324745388568,1105.0042574257425,0.0,7.200275352973874,0.0,110.0,3,6,1233.1089167845357,100.0,12.0,24.0,False,1142.0
0.07627327136408686,0.07548940391906017,1163.0186262376237,0.16830666666666663,4.440706666666666,0.5,110.0,0,3,1233.1089167845357,80.0,0.0,5.0,False,1145.0
